Humidity, Temperature, Heat Index, Light Intensity,,
95, 31.10C, 47.23C , There is sufficient light :331,,
95, 31.10C, 47.23C , There is sufficient light :308,,
95, 31.10C, 47.23C , There is sufficient light :298,,
95, 31.00C, 46.78C , There is sufficient light :301,,
95, 31.10C, 47.23C , There is sufficient light :303,,
95, 31.10C, 47.23C , There is sufficient light :318,,
95, 31.10C, 47.23C , There is sufficient light :319,,
95, 31.10C, 47.23C , There is sufficient light :315,,
95, 31.10C, 47.23C , There is sufficient light :309,,
95, 31.10C, 47.23C , There is sufficient light :550,,
95, 31.10C, 47.23C , Darkness over here :694,,
95, 31.10C, 47.23C , Darkness over here :701,,
95, 31.10C, 47.23C , Darkness over here :703,,
95, 31.10C, 47.23C , Darkness over here :702,,
95, 31.10C, 47.23C , Darkness over here :697,,
95, 31.10C, 47.23C , Darkness over here :691,,
95, 31.10C, 47.23C , Darkness over here :688,,
95, 31.10C, 47.23C , Darkness over here :689,,
95, 31.10C, 47.23C , Darkness over here :698,,
95, 31.10C, 47.23C , Darkness over here :697,,
95, 31.10C, 47.23C , Darkness over here :705,,
95, 31.10C, 47.23C , Darkness over here :702,,
95, 31.10C, 47.23C , Darkness over here :700,,
95, 31.10C, 47.23C , Darkness over here :695,,
95, 31.10C, 47.23C , Darkness over here :692,,
95, 31.10C, 47.23C , Darkness over here :690,,
95, 31.10C, 47.23C , Darkness over here :686,,
95, 31.10C, 47.23C , Darkness over here :686,,
95, 31.10C, 47.23C , Darkness over here :685,,
95, 31.10C, 47.23C , Darkness over here :689,,
95, 31.10C, 47.23C , Darkness over here :694,,
95, 31.10C, 47.23C , Darkness over here :695,,
95, 31.10C, 47.23C , Darkness over here :691,,
95, 31.10C, 47.23C , Darkness over here :699,,
95, 31.10C, 47.23C , Darkness over here :691,,
95, 31.10C, 47.23C , Darkness over here :682,,
95, 31.10C, 47.23C , Darkness over here :680,,
95, 31.10C, 47.23C , Darkness over here :677,,
95, 31.10C, 47.23C , Darkness over here :680,,
95, 31.10C, 47.23C , Darkness over here :685,,
95, 31.10C, 47.23C , Darkness over here :685,,
95, 31.10C, 47.23C , Darkness over here :688,,
95, 31.10C, 47.23C , Darkness over here :680,,
95, 31.10C, 47.23C , Darkness over here :678,,
95, 31.10C, 47.23C , Darkness over here :675,,
95, 31.10C, 47.23C , Darkness over here :675,,
95, 31.10C, 47.23C , Darkness over here :686,,
95, 31.10C, 47.23C , Darkness over here :688,,
95, 31.10C, 47.23C , Darkness over here :688,,
95, 31.10C, 47.23C , Darkness over here :685,,
95, 31.10C, 47.23C , Darkness over here :676,,
95, 31.10C, 47.23C , Darkness over here :678,,
95, 31.10C, 47.23C , Darkness over here :674,,
95, 31.10C, 47.23C , Darkness over here :672,,
95, 31.10C, 47.23C , Darkness over here :673,,
95, 31.10C, 47.23C , Darkness over here :672,,
95, 31.10C, 47.23C , Darkness over here :672,,
95, 31.10C, 47.23C , Darkness over here :676,,
95, 31.10C, 47.23C , Darkness over here :679,,
95, 31.10C, 47.23C , Darkness over here :682,,
95, 31.10C, 47.23C , Darkness over here :681,,
95, 31.10C, 47.23C , Darkness over here :686,,
95, 31.10C, 47.23C , Darkness over here :686,,
95, 31.10C, 47.23C , Darkness over here :687,,
95, 31.10C, 47.23C , Darkness over here :684,,
95, 31.10C, 47.23C , Darkness over here :684,,
95, 31.10C, 47.23C , Darkness over here :680,,
95, 31.10C, 47.23C , Darkness over here :677,,
95, 31.10C, 47.23C , Darkness over here :677,,
95, 31.10C, 47.23C , Darkness over here :676,,
95, 31.10C, 47.23C , Darkness over here :673,,
95, 31.10C, 47.23C , Darkness over here :671,,
95, 31.10C, 47.23C , Darkness over here :676,,
95, 31.10C, 47.23C , Darkness over here :675,,
95, 31.10C, 47.23C , Darkness over here :678,,
95, 31.10C, 47.23C , Darkness over here :687,,
95, 31.10C, 47.23C , Darkness over here :690,,
95, 31.10C, 47.23C , Darkness over here :687,,
95, 31.10C, 47.23C , Darkness over here :686,,
95, 31.10C, 47.23C , There is sufficient light :294,,
95, 31.10C, 47.23C , There is sufficient light :292,,
95, 31.10C, 47.23C , There is sufficient light :302,,
95, 31.10C, 47.23C , There is sufficient light :310,,
95, 31.10C, 47.23C , There is sufficient light :313,,
95, 31.10C, 47.23C , There is sufficient light :316,,
95, 31.10C, 47.23C , There is sufficient light :310,,
95, 31.10C, 47.23C , There is sufficient light :302,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :298,,
95, 31.10C, 47.23C , There is sufficient light :297,,
95, 31.10C, 47.23C , There is sufficient light :294,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :303,,
95, 31.10C, 47.23C , There is sufficient light :303,,
95, 31.10C, 47.23C , There is sufficient light :314,,
95, 31.10C, 47.23C , There is sufficient light :320,,
95, 31.10C, 47.23C , There is sufficient light :317,,
95, 31.10C, 47.23C , There is sufficient light :320,,
95, 31.10C, 47.23C , There is sufficient light :313,,
95, 31.10C, 47.23C , There is sufficient light :302,,
95, 31.10C, 47.23C , There is sufficient light :300,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :302,,
95, 31.10C, 47.23C , There is sufficient light :312,,
95, 31.10C, 47.23C , There is sufficient light :320,,
95, 31.10C, 47.23C , There is sufficient light :318,,
95, 31.10C, 47.23C , There is sufficient light :304,,
95, 31.10C, 47.23C , There is sufficient light :298,,
95, 31.10C, 47.23C , There is sufficient light :296,,
95, 31.10C, 47.23C , There is sufficient light :296,,
95, 31.10C, 47.23C , There is sufficient light :305,,
95, 31.10C, 47.23C , There is sufficient light :311,,
95, 31.10C, 47.23C , There is sufficient light :319,,
95, 31.10C, 47.23C , There is sufficient light :303,,
95, 31.10C, 47.23C , There is sufficient light :297,,
95, 31.10C, 47.23C , There is sufficient light :298,,
95, 31.10C, 47.23C , There is sufficient light :309,,
95, 31.10C, 47.23C , There is sufficient light :320,,
95, 31.10C, 47.23C , There is sufficient light :317,,
95, 31.10C, 47.23C , There is sufficient light :307,,
95, 31.20C, 47.69C , There is sufficient light :297,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :315,,
95, 31.10C, 47.23C , There is sufficient light :320,,
95, 31.10C, 47.23C , There is sufficient light :310,,
95, 31.10C, 47.23C , There is sufficient light :301,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :315,,
95, 31.20C, 47.69C , There is sufficient light :316,,
95, 31.10C, 47.23C , There is sufficient light :307,,
95, 31.10C, 47.23C , There is sufficient light :301,,
95, 31.20C, 47.69C , There is sufficient light :311,,
95, 31.10C, 47.23C , There is sufficient light :317,,
95, 31.20C, 47.69C , There is sufficient light :313,,
95, 31.20C, 47.69C , There is sufficient light :303,,
95, 31.20C, 47.69C , There is sufficient light :303,,
95, 31.10C, 47.23C , There is sufficient light :316,,
95, 31.10C, 47.23C , There is sufficient light :319,,
95, 31.20C, 47.69C , There is sufficient light :305,,
95, 31.20C, 47.69C , There is sufficient light :297,,
95, 31.10C, 47.23C , There is sufficient light :307,,
95, 31.10C, 47.23C , There is sufficient light :315,,
95, 31.20C, 47.69C , There is sufficient light :310,,
95, 31.10C, 47.23C , There is sufficient light :298,,
95, 31.10C, 47.23C , There is sufficient light :305,,
95, 31.20C, 47.69C , There is sufficient light :320,,
95, 31.10C, 47.23C , There is sufficient light :308,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.10C, 47.23C , There is sufficient light :314,,
95, 31.20C, 47.69C , There is sufficient light :316,,
95, 31.10C, 47.23C , There is sufficient light :300,,
95, 31.10C, 47.23C , There is sufficient light :305,,
95, 31.10C, 47.23C , There is sufficient light :318,,
95, 31.10C, 47.23C , There is sufficient light :305,,
95, 31.10C, 47.23C , There is sufficient light :302,,
95, 31.20C, 47.69C , There is sufficient light :316,,
95, 31.10C, 47.23C , There is sufficient light :314,,
95, 31.20C, 47.69C , There is sufficient light :300,,
95, 31.10C, 47.23C , There is sufficient light :557,,
95, 31.10C, 47.23C , There is sufficient light :318,,
95, 31.20C, 47.69C , There is sufficient light :299,,
95, 31.20C, 47.69C , There is sufficient light :302,,
95, 31.20C, 47.69C , There is sufficient light :318,,
95, 31.20C, 47.69C , There is sufficient light :311,,
95, 31.20C, 47.69C , There is sufficient light :300,,
95, 31.20C, 47.69C , There is sufficient light :318,,
95, 31.20C, 47.69C , There is sufficient light :314,,
95, 31.10C, 47.23C , There is sufficient light :299,,
95, 31.20C, 47.69C , There is sufficient light :318,,
95, 31.20C, 47.69C , There is sufficient light :309,,
95, 31.20C, 47.69C , There is sufficient light :302,,
95, 31.10C, 47.23C , There is sufficient light :321,,
95, 31.20C, 47.69C , There is sufficient light :300,,
95, 31.20C, 47.69C , There is sufficient light :318,,
95, 31.20C, 47.69C , There is sufficient light :302,,
95, 31.20C, 47.69C , There is sufficient light :309,,
95, 31.10C, 47.23C , There is sufficient light :309,,
95, 31.20C, 47.69C , There is sufficient light :303,,
95, 31.20C, 47.69C , There is sufficient light :319,,
95, 31.20C, 47.69C , There is sufficient light :298,,
95, 31.20C, 47.69C , There is sufficient light :319,,
95, 31.20C, 47.69C , There is sufficient light :307,,
95, 31.20C, 47.69C , There is sufficient light :305,,
95, 31.20C, 47.69C , There is sufficient light :316,,
95, 31.20C, 47.69C , There is sufficient light :301,,
95, 31.20C, 47.69C , There is sufficient light :318,,
95, 31.20C, 47.69C , There is sufficient light :308,,
95, 31.20C, 47.69C , There is sufficient light :301,,
95, 31.20C, 47.69C , There is sufficient light :317,,
95, 31.20C, 47.69C , There is sufficient light :299,,
95, 31.20C, 47.69C , There is sufficient light :304,,
95, 31.20C, 47.69C , There is sufficient light :312,,
95, 31.20C, 47.69C , There is sufficient light :294,,
95, 31.20C, 47.69C , There is sufficient light :307,,
95, 31.20C, 47.69C , There is sufficient light :315,,
95, 31.20C, 47.69C , There is sufficient light :293,,
95, 31.20C, 47.69C , There is sufficient light :308,,
95, 31.20C, 47.69C , There is sufficient light :313,,
95, 31.20C, 47.69C , There is sufficient light :296,,
95, 31.20C, 47.69C , There is sufficient light :310,,
95, 31.20C, 47.69C , There is sufficient light :311,,
95, 31.20C, 47.69C , There is sufficient light :297,,
95, 31.20C, 47.69C , There is sufficient light :316,,
95, 31.20C, 47.69C , There is sufficient light :305,,
95, 31.20C, 47.69C , There is sufficient light :303,,
95, 31.20C, 47.69C , There is sufficient light :319,,
95, 31.20C, 47.69C , There is sufficient light :300,,
95, 31.20C, 47.69C , There is sufficient light :307,,
95, 31.20C, 47.69C , There is sufficient light :314,,
95, 31.20C, 47.69C , There is sufficient light :294,,
95, 31.20C, 47.69C , There is sufficient light :314,,
95, 31.20C, 47.69C , There is sufficient light :304,,
95, 31.20C, 47.69C , There is sufficient light :295,,
95, 31.20C, 47.69C , There is sufficient light :314,,
95, 31.20C, 47.69C , There is sufficient light :304,,
95, 31.10C, 47.23C , There is sufficient light :298,,
95, 31.20C, 47.69C , There is sufficient light :313,,
95, 31.20C, 47.69C , There is sufficient light :317,,
95, 31.20C, 47.69C , There is sufficient light :301,,
95, 31.20C, 47.69C , There is sufficient light :305,,
95, 31.20C, 47.69C , There is sufficient light :317,,
95, 31.20C, 47.69C , There is sufficient light :315,,
95, 31.20C, 47.69C , There is sufficient light :540,,
95, 31.20C, 47.69C , Darkness over here :677,,
95, 31.20C, 47.69C , Darkness over here :665,,
95, 31.20C, 47.69C , Darkness over here :667,,
95, 31.20C, 47.69C , Darkness over here :673,,
95, 31.20C, 47.69C , Darkness over here :658,,
95, 31.20C, 47.69C , Darkness over here :671,,
95, 31.20C, 47.69C , Darkness over here :670,,
95, 31.20C, 47.69C , Darkness over here :665,,
95, 31.20C, 47.69C , Darkness over here :674,,
95, 31.20C, 47.69C , Darkness over here :668,,
95, 31.20C, 47.69C , Darkness over here :661,,
95, 31.20C, 47.69C , Darkness over here :675,,
95, 31.20C, 47.69C , Darkness over here :661,,
,,,,,
